ov_long;ov_short;Tallinn;Tartu;Sum;lat;lon
Pala;Pala;9;36;45;58.7483;27.0486
Martna;Martna;9;3;12;58.7644;23.9962
Vigala;Vigala;27;9;36;58.7686;24.4128
Jarvakandi;Jarvakandi;15;6;21;58.7836;24.8167
Pajusi;Pajusi;12;18;30;58.7872;26.0178
Turi;Turi;168;75;243;58.7933;25.4295
Torma;Torma;15;57;72;58.8195;26.6421
Karu;Karu;15;6;21;58.8283;25.1501
Koigi;Koigi;15;12;27;58.8292;25.7464
Mustvee linn;Mustvee_l;21;30;51;58.8297;26.9442
Kaina;Kaina;33;6;39;58.8306;22.7758
Emmaste;Emmaste;30;6;36;58.8466;22.4646
Kehtna;Kehtna;138;21;159;58.86;24.995
Vaatsa;Vaatsa;21;9;30;58.8797;25.4467
Kullamaa;Kullamaa;30;9;39;58.8858;24.088
Paide linn;Paide_l;177;90;267;58.8874;25.5631
Paide;Paide;39;12;51;58.8957;25.7556
Marjamaa;Marjamaa;174;24;198;58.9008;24.2422
Ridala;Ridala;69;12;81;58.9156;23.4325
Korgessaare;Korgessaare;18;3;21;58.9217;22.1086
Raikkula;Raikkula;33;6;39;58.9252;24.6416
Kaiu;Kaiu;45;9;54;58.9381;25.2125
Lohusuu;Lohusuu;6;9;15;58.9462;27.0482
Haapsalu linn;Haapsalu_l;252;63;315;58.9519;23.5325
Puhalepa;Puhalepa;42;6;48;58.9648;22.9128
Taebla;Taebla;48;12;60;58.9697;23.835
Kareda;Kareda;3;9;12;58.9727;25.7931
Koeru;Koeru;33;24;57;58.9747;26.0564
Rakke;Rakke;15;27;42;58.9747;26.2606
Avinurme;Avinurme;9;24;33;58.9878;26.8769
Kardla linn;Kardla_l;96;12;108;58.9925;22.722
Rapla;Rapla;282;57;339;58.9927;24.8322
Vormsi;Vormsi;9;0;9;58.9956;23.2353
Oru;Oru;21;3;24;58.998;23.7123
Iisaku;Iisaku;18;21;39;59.0039;27.2303
Alajoe;Alajoe;3;0;3;59.0136;27.4358
Juuru;Juuru;51;3;54;59.0159;24.937
Roosna-Alliku;Roosna-Alliku;15;6;21;59.018;25.7294
Noarootsi;Noarootsi;12;0;12;59.0294;23.4811
Tudulinna;Tudulinna;6;3;9;59.0339;27.0711
Jarva-Jaani;Jarva-Jaani;21;9;30;59.0403;25.8944
